,recipient_parent_name1,current_award,potential_award,offers_received,num_employees,annual_revenue,award_count,recipient_name,organizational_type,business_size,year,recipient_name_clean,Cycle,Democrats,Individuals,PACs,Republicans,Soft_Indivs,Soft_Orgs,Total,Total1,org_id,org_name,org_name_clean,DemShare,RepShare
0,3MCOMPANY,7838262.46,43427979.83,18310,2854455.021,1030000000000.0,1,3M COMPANY,,OTHER THAN SMALL BUSINESS,2008,3m,2008,180494,154571,284404,257681,0,0,438175,438175,D000021800,3M CO,3m,0.411922177212301,0.5880778227876989
1,ABBLTD,316353.74,316353.74,5,21646.75,6203500288.0,1,ABB LTD,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2008,abb,2008,10686,3536,18000,10850,0,0,21536,21536,D000023729,ABB GROUP,abb,0.4961924219910847,0.5038075780089153
2,ABBOTTLABORATORIES,23293041.28,62447873.44,149,53429.50167,1786236981.0,1,ABBOTT LABORATORIES,,OTHER THAN SMALL BUSINESS,2008,abbott laboratories,2008,575791,252594,1028497,709850,5000,0,1285641,1285641,D000000383,ABBOTT LABORATORIES,abbott laboratories,0.4478629726338846,0.5521370273661155
3,ADVANCEDACOUSTICCONCEPTSINC,26270545.0,58770784.0,5,200.0,26914780.0,1,ADVANCED ACOUSTIC CONCEPTS  INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008,advanced acoustic concepts,2008,119550,37250,107600,23300,0,0,142850,142850,D000023762,ADVANCED ACOUSTIC CONCEPTS,advanced acoustic concepts,0.8368918445922297,0.16310815540777038
4,AFOGNAKNATIVECORPORATION,465484963.6,1040796126.0,430,490.9336285,17866997.5,1,AFOGNAK NATIVE CORPORATION,,SMALL BUSINESS,2008,afognak native,2008,6070,3820,6000,3750,0,0,9820,9820,D000023779,AFOGNAK NATIVE CORP,afognak native,0.6181262729124236,0.3818737270875764
5,ALLEGHENYENERGYINC,92514366.98,92514366.98,5,4125.9090909999995,365126009.6,1,ALLEGHENY ENERGY  INC.,,OTHER THAN SMALL BUSINESS,2008,allegheny energy,2008,107272,59272,155800,107800,0,0,215072,215072,D000023850,ALLEGHENY ENERGY,allegheny energy,0.498772504091653,0.5012274959083469
6,ALLIANTTECHSYSTEMSINC,93569924297.0,93567634295.0,290,6761.058895,1452678125.0,1,ALLIANT TECHSYSTEMS INC.,,OTHER THAN SMALL BUSINESS,2008,alliant techsystems,2008,187519,42386,345918,200785,0,0,388304,388304,D000021814,ALLIANT TECHSYSTEMS,alliant techsystems,0.4829180229922947,0.5170819770077053
7,AMERICANSYSTEMSCORPORATION,5958003.62,1502165.62,41,624.5,191441464.0,1,AMERICAN SYSTEMS CORPORATION,,OTHER THAN SMALL BUSINESS,2008,american systems,2008,22550,11051,20500,9001,0,0,31551,31551,D000024025,AMERICAN SYSTEMS CORP,american systems,0.7147158568666603,0.28528414313333966
8,AMERISOURCEBERGENCORPORATION,167132445.0,167937209.2,42566,1107.108001,275188.9365,1,AMERISOURCEBERGEN CORPORATION,,OTHER THAN SMALL BUSINESS,2008,amerisourcebergen,2008,121700,42801,308250,234351,0,0,356051,356051,D000021841,AMERISOURCEBERGEN CORP,amerisourcebergen,0.34180496614249084,0.6581950338575092
9,ANALYTICALGRAPHICSINC,70711.0,70711.0,1,0.0,0.0,1,ANALYTICAL GRAPHICS  INC.,,OTHER THAN SMALL BUSINESS,2008,analytical graphics,2008,13050,1250,35500,23700,0,0,36750,36750,D000024070,ANALYTICAL GRAPHICS INC,analytical graphics,0.3551020408163265,0.6448979591836734
