,recipient_name_clean,current_award,potential_award,offers_received,num_employees,annual_revenue,award_count,recipient_name,organizational_type,business_size,year
0,180s,10808156.4,10808156.4,21.0,40.0,0.0,1.0,180S  INC.,,SMALL BUSINESS,2008
1,2020,12226118.010000002,39781218.03,9.0,1441.333333333333,126049220.5,1.0,2020 COMPANY  LLC,,SMALL BUSINESS,2008
2,3 phoenix,99966.57,99967.0,2.0,23.0,3427000.0,1.0,3 PHOENIX  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2008
3,3m,7838262.459999999,43427979.83000001,18310.0,2854455.0206962936,1030002521573.1858,1.0,3M COMPANY,,OTHER THAN SMALL BUSINESS,2008
4,a2z,150000.0,150000.0,2.0,0.0,0.0,1.0,A2Z  INC.,,SMALL BUSINESS,2008
5,aar,139917334.98000002,142146471.98000002,73.0,1724.658095238095,236273990.46952385,1.0,AAR CORP.,,OTHER THAN SMALL BUSINESS,2008
6,aardvark tactical,29828791.840000004,29828791.840000004,25.0,8.666666666666666,10833333.333333334,1.0,AARDVARK TACTICAL  INC.,,SMALL BUSINESS,2008
7,aaski technology,373897.11,373897.11,1.0,20.0,2000000.0,1.0,AASKI TECHNOLOGY INC,,SMALL BUSINESS,2008
8,ab skf,9995.0,9995.0,0.0,40000.0,4000000000.0,1.0,AB SKF,,OTHER THAN SMALL BUSINESS,2008
9,ab staffing solutions,705287.6699999998,705287.6699999998,2.0,27.5,2500000.0,1.0,AB STAFFING SOLUTIONS  LLC,,SMALL BUSINESS,2008
10,ab volvo,10762162.44,10762162.44,11.0,6188.0,3200000000.0,1.0,AB VOLVO,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008
11,abacus technology,5060441.010000002,5060441.010000002,298.0,328.07407407407413,44431513.18518519,1.0,ABACUS TECHNOLOGY CORPORATION,,SMALL BUSINESS,2008
12,abb,316353.74,316353.74,5.0,21646.75,6203500288.2,1.0,ABB LTD,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2008
13,abbott laboratories,23293041.28,62447873.44,149.0,53429.50166666667,1786236981.0184715,1.0,ABBOTT LABORATORIES,,OTHER THAN SMALL BUSINESS,2008
14,abm federal sales,26867443.57000001,101337536.8,1184.0,157.81191629826108,5850088.888888889,1.0,ABM FEDERAL SALES  INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2008
15,abrams incorporated,130695084.88,130695084.88,16.0,775.0,1760039978.6666667,1.0,ABRAMS INTERNATIONAL INCORPORATED,,OTHER THAN SMALL BUSINESS,2008
16,absher construction,84602222.0,84602222.0,223.0,92.1875,29947916.666666664,1.0,ABSHER CONSTRUCTION CO.,,OTHER THAN SMALL BUSINESS,2008
17,abt associates,393849953.0,393890323.0,485.0,1050.0769696969696,326602721.5917171,1.0,ABT ASSOCIATES INC.,,OTHER THAN SMALL BUSINESS,2008
18,academy educational development,115979636.49,125646125.49,147.0,1185.3030303030305,820930378.097619,1.0,ACADEMY FOR EDUCATIONAL DEVELOPMENT  INC.,,OTHER THAN SMALL BUSINESS,2008
19,acc construction,45735580.34,45735580.34,4.0,200.0,15000000.0,1.0,ACC CONSTRUCTION CO.  INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008
20,accelera solutions,134812.98,134812.98,2.0,9.0,1600000.0,1.0,ACCELERA SOLUTIONS  INC.,,SMALL BUSINESS,2008
21,accenture national security services,58497959.48,58497959.48,110.0,112.5,21967591.35,1.0,ACCENTURE NATIONAL SECURITY SERVICES  LLC,,OTHER THAN SMALL BUSINESS,2008
22,accenture public,15132783.24,2687020297.82,3034.0,95690.74444444443,3690445376.2583327,1.0,ACCENTURE PUBLIC LIMITED COMPANY,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008
23,ace info solutions,1798369.0,2291128.0,1000.0,62.5,6500000.0,1.0,"ACE INFO SOLUTIONS, INC.",,SMALL BUSINESS,2008
24,acepex management,8103201.42,8103201.42,62.0,201.50000000000003,1465006.6,1.0,ACEPEX MANAGEMENT CORPORATION,,SMALL BUSINESS,2008
