,t1,t2,score
13463294,transportation communication,transportation communications,0.034482758620689655
3933608,pci communications,mci communications,0.05555555555555555
10679313,morpho trust usa,morphotrust usa,0.0625
37380390,s c johnson son,sc johnson son,0.06666666666666667
11722605,sm construction,hm construction,0.06666666666666667
23897574,c2 technologies,ca technologies,0.06666666666666667
2507219,alcatel lucent,alcatellucent,0.07142857142857142
1189922,aries information technology services,harris information technology services,0.07894736842105263
14551460,bct partners,bc partners,0.08333333333333333
15216956,j m smucker,jm smucker,0.09090909090909091
18109156,archerdanielsmidland,archer daniels midland,0.09090909090909091
24866779,imsolutions,emsolutions,0.09090909090909091
25805150,sentrillion,sentillion,0.09090909090909091
26894510,cerberus capital management lp,cerberus capital management,0.1
31012609,jamison professional services,hanson professional services,0.10344827586206896
3931203,pci communications,icg communications,0.1111111111111111
6697683,h j heinz,hj heinz,0.1111111111111111
3374318,dtc engineers constructors,sb engineers constructors,0.11538461538461539
32565572,lenco industries,lennox industries,0.11764705882352941
32379238,cask technologies,ca technologies,0.11764705882352941
31465127,zel technologies,dell technologies,0.11764705882352941
7101600,l3 communications,xo communications,0.11764705882352941
2095056,novartis vaccines and diagnostics,novartis vaccines diagnostics,0.12121212121212122
3948666,engineering and software system solutions,engineering software systems solutions,0.12195121951219512
27603998,gcc technologies,fmc technologies,0.125
25822269,sprint communications lp,sprint communications,0.125
22648045,hgl construction,hm construction,0.125
1876070,aci technologies,ca technologies,0.125
9190765,d m construction,hm construction,0.125
35070788,btl technologies,bwx technologies,0.125
25934054,tau technologies,ca technologies,0.125
28664038,ncs technologies,ca technologies,0.125
7622246,bam technologies,ca technologies,0.125
23896182,c2 technologies,icx technologies,0.125
27605878,gcc technologies,icx technologies,0.125
2723565,kmk construction,hm construction,0.125
4485060,x technologies,bwx technologies,0.125
1874678,aci technologies,icx technologies,0.125
6634406,american,americas,0.125
21140070,cgh technologies,ca technologies,0.125
34558701,hof construction,hm construction,0.125
23292013,smr construction,hm construction,0.125
26189470,lm technologies,fmc technologies,0.125
5345822,mtc technologies,fmc technologies,0.125
27656685,mdm construction,hm construction,0.125
32423270,gpa technologies,ca technologies,0.125
33634150,taj technologies,ca technologies,0.125
28705645,inovio pharmaceuticals,sunovion pharmaceuticals,0.125
1993886,hms technologies,fmc technologies,0.125
23593177,isystems,esystems,0.125
570063,macro industries,nacco industries,0.125
8728550,cnf technologies,ca technologies,0.125
12295236,blh technologies,bwx technologies,0.125
15503974,pal technologies,ca technologies,0.125
36705382,cdo technologies,ca technologies,0.125
4483574,x technologies,icx technologies,0.125
7622340,bam technologies,bwx technologies,0.125
28662646,ncs technologies,icx technologies,0.125
27607270,gcc technologies,ca technologies,0.125
26750611,dmc management services,jjf management services,0.13043478260869565
24550811,amg healthcare services,kph healthcare services,0.13043478260869565
25777269,american contractors,american subcontractors,0.13043478260869565
16531483,chg healthcare services,kph healthcare services,0.13043478260869565
10844051,nlt management services,jjf management services,0.13043478260869565
22534547,gw management services,jjf management services,0.13043478260869565
33663635,adc management services,jjf management services,0.13043478260869565
25858963,ccc management services,jjf management services,0.13043478260869565
22677651,bsh management services,jjf management services,0.13043478260869565
31794075,amn healthcare services,kph healthcare services,0.13043478260869565
11714935,sci consulting services,ltk consulting services,0.13043478260869565
35791597,rq construction,hm construction,0.13333333333333333
8392806,dh technologies,ca technologies,0.13333333333333333
16469478,d s consultants,ms consultants,0.13333333333333333
527469,dd construction,hm construction,0.13333333333333333
2690541,xl construction,hm construction,0.13333333333333333
30582097,sea engineering,st engineering,0.13333333333333333
19387632,umt consulting,rust consulting,0.13333333333333333
28601328,cusa consulting,rust consulting,0.13333333333333333
28284458,gem technology,game technology,0.13333333333333333
29770342,ls technologies,ca technologies,0.13333333333333333
26192742,lm technologies,ca technologies,0.13333333333333333
7379949,nw construction,hm construction,0.13333333333333333
17843174,g3 technologies,ca technologies,0.13333333333333333
4484966,x technologies,ca technologies,0.13333333333333333
14039910,sj technologies,ca technologies,0.13333333333333333
20479469,kw construction,hm construction,0.13333333333333333
13863782,e2 technologies,ca technologies,0.13333333333333333
678581,enterprise services,hp enterprise services,0.13636363636363635
