,t1,t2,score
13463294,transportation communication,transportation communications,0.034482759
10679313,morpho trust usa,morphotrust usa,0.0625
37380390,s c johnson son,sc johnson son,0.066666667
2507219,alcatel lucent,alcatellucent,0.071428571
15216956,j m smucker,jm smucker,0.090909091
18109156,archerdanielsmidland,archer daniels midland,0.090909091
26894510,cerberus capital management lp,cerberus capital management,0.1
6697683,h j heinz,hj heinz,0.111111111
2095056,novartis vaccines and diagnostics,novartis vaccines diagnostics,0.121212121
3948666,engineering and software system solutions,engineering software systems solutions,0.12195122
25822269,sprint communications lp,sprint communications,0.125
16711312,alion science and technology,alion science technology,0.142857143
31061644,advanced concepts technologies,advanced concepts technologies intl,0.142857143
17914861,hammel green and abrahamson,hammel green abrahamson,0.148148148
8107231,air products and chemicals,air products chemicals,0.153846154
7455888,northrop grumman information t,northrop grumman innovation systems,0.257142857
8050320,northrop grumman space mission systems,northrop grumman innovation systems,0.263157895
