,org_id,org_name,Cycle,Total,Democrats,Republicans,% to Dems,% to Repubs,Individuals,PACs,Soft (Indivs),Soft (Orgs)
0,D000042417,Charming Shoppes Inc,2018,$658,$598,$0,91%,0%,$658,$0,$0,$0
1,D000042417,Charming Shoppes Inc,2016,"$4,560","$4,310",$0,95%,0%,"$4,310",$0,$250,$0
2,D000042417,Charming Shoppes Inc,2014,$600,$600,$0,100%,0%,$600,$0,$0,$0
3,D000042417,Charming Shoppes Inc,2012,"$6,333",$500,"$5,833",8%,92%,"$6,333",$0,$0,$0
4,D000042417,Charming Shoppes Inc,2010,"$2,887","$2,887",$0,100%,0%,"$2,887",$0,$0,$0
5,D000042417,Charming Shoppes Inc,2008,"$15,400","$7,150","$8,250",46%,54%,"$15,400",$0,$0,$0
6,D000042417,Charming Shoppes Inc,2006,"$7,100","$5,200","$1,900",73%,27%,"$7,100",$0,$0,$0
7,D000042417,Charming Shoppes Inc,2004,"$5,450",$450,"$5,000",8%,92%,"$5,450",$0,$0,$0
8,D000042417,Charming Shoppes Inc,2002,"$16,750","$4,250","$12,500",25%,75%,"$16,750",$0,$0,$0
9,D000042417,Charming Shoppes Inc,2000,"$3,450","$1,500","$1,950",44%,57%,"$3,450",$0,$0,$0
10,D000042417,Charming Shoppes Inc,1998,"$5,425","$1,400","$3,725",26%,69%,"$5,425",$0,$0,$0
11,D000042417,Charming Shoppes Inc,1996,"$15,950","$5,250","$10,700",33%,67%,"$14,950",$0,"$1,000",$0
12,D000042417,Charming Shoppes Inc,1994,"$8,500","$3,000","$5,500",35%,65%,"$8,500",$0,$0,$0
13,D000042417,Charming Shoppes Inc,1992,"$20,610","$10,250","$10,360",50%,50%,"$20,610",$0,$0,$0
14,D000042417,Charming Shoppes Inc,1990,"$14,500","$7,000","$7,500",48%,52%,"$14,500",$0,,
16,D000042418,Conair Corp,2018,"$86,537","$1,306","$75,231",2%,87%,"$76,537",$0,$0,"$10,000"
17,D000042418,Conair Corp,2016,"$457,468","$2,730","$454,280",1%,99%,"$457,010",$0,$458,$0
18,D000042418,Conair Corp,2014,$750,$750,$0,100%,0%,$750,$0,$0,$0
19,D000042418,Conair Corp,2012,"$16,955",$0,"$16,955",0%,100%,"$16,955",$0,$0,$0
20,D000042418,Conair Corp,2010,"$6,850",$0,"$6,850",0%,100%,"$6,850",$0,$0,$0
