,recipient_parent_name1,current_award,potential_award,offers_received,num_employees,annual_revenue,award_count,recipient_name,organizational_type,business_size,year,recipient_name_clean,Unnamed: 0,% to Dems,% to Repubs,0,1,Cycle,Democrats,Individuals,PACs,Republicans,Soft (Indivs),Soft (Orgs),Total,Unnamed: 0.1,org_id,org_name,org_name_clean
0,3MCOMPANY,7838262.46,43427979.83,18310,2854455.021,1.03E+12,1,3M COMPANY,,OTHER THAN SMALL BUSINESS,2008,3m,11996,41%,59%,,,2008,"$180,494 ","$154,571 ","$284,404 ","$257,681 ",$0 ,$0 ,"$439,575 ",33796,D000021800,3M CO,3m
1,ABBLTD,316353.74,316353.74,5,21646.75,6203500288,1,ABB LTD,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2008,abb,20191,50%,50%,,,2008,"$10,686 ","$3,536 ","$18,000 ","$10,850 ",$0 ,$0 ,"$21,536 ",43919,D000023729,ABB GROUP,abb
2,ABBOTTLABORATORIES,23293041.28,62447873.44,149,53429.50167,1786236981,1,ABBOTT LABORATORIES,,OTHER THAN SMALL BUSINESS,2008,abbott laboratories,4127,45%,55%,,,2008,"$575,791 ","$252,594 ","$1,028,497 ","$709,850 ","$5,000 ",$0 ,"$1,286,316 ",4510,D000000383,ABBOTT LABORATORIES,abbott laboratories
3,ADVANCEDACOUSTICCONCEPTSINC,26270545,58770784,5,200,26914780,1,ADVANCED ACOUSTIC CONCEPTS  INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008,advanced acoustic concepts,20353,83%,16%,,,2008,"$119,550 ","$37,250 ","$107,600 ","$23,300 ",$0 ,$0 ,"$144,850 ",44114,D000023762,ADVANCED ACOUSTIC CONCEPTS,advanced acoustic concepts
4,AFOGNAKNATIVECORPORATION,465484963.6,1040796126,430,490.9336285,17866997.5,1,AFOGNAK NATIVE CORPORATION,,SMALL BUSINESS,2008,afognak native,20507,62%,38%,,,2008,"$6,070 ","$3,820 ","$6,000 ","$3,750 ",$0 ,$0 ,"$9,820 ",44285,D000023779,AFOGNAK NATIVE CORP,afognak native
5,ALLEGHENYENERGYINC,92514366.98,92514366.98,5,4125.909091,365126009.6,1,ALLEGHENY ENERGY  INC.,,OTHER THAN SMALL BUSINESS,2008,allegheny energy,20826,50%,50%,,,2008,"$107,272 ","$59,272 ","$155,800 ","$107,800 ",$0 ,$0 ,"$216,672 ",44675,D000023850,ALLEGHENY ENERGY,allegheny energy
6,ALLIANTTECHSYSTEMSINC,93569924297,93567634295,290,6761.058895,1452678125,1,ALLIANT TECHSYSTEMS INC.,,OTHER THAN SMALL BUSINESS,2008,alliant techsystems,12150,48%,52%,,,2008,"$187,519 ","$42,386 ","$345,918 ","$200,785 ",$0 ,$0 ,"$388,304 ",33963,D000021814,ALLIANT TECHSYSTEMS,alliant techsystems
7,AMERICANSYSTEMSCORPORATION,5958003.62,1502165.62,41,624.5,191441464,1,AMERICAN SYSTEMS CORPORATION,,OTHER THAN SMALL BUSINESS,2008,american systems,22386,72%,29%,,,2008,"$22,550 ","$11,051 ","$20,500 ","$9,001 ",$0 ,$0 ,"$31,551 ",46410,D000024025,AMERICAN SYSTEMS CORP,american systems
8,AMERISOURCEBERGENCORPORATION,167132445,167937209.2,42566,1107.108001,275188.9365,1,AMERISOURCEBERGEN CORPORATION,,OTHER THAN SMALL BUSINESS,2008,amerisourcebergen,12475,34%,66%,,,2008,"$121,700 ","$42,801 ","$308,250 ","$234,351 ",$0 ,$0 ,"$356,051 ",34315,D000021841,AMERISOURCEBERGEN CORP,amerisourcebergen
9,ANALYTICALGRAPHICSINC,70711,70711,1,0,0,1,ANALYTICAL GRAPHICS  INC.,,OTHER THAN SMALL BUSINESS,2008,analytical graphics,22709,36%,65%,,,2008,"$13,050 ","$1,250 ","$35,500 ","$23,700 ",$0 ,$0 ,"$36,750 ",46778,D000024070,ANALYTICAL GRAPHICS INC,analytical graphics
10,ARAMARKHOLDINGSCORPORATION,16631.91,4948631.91,10,4590,101666668,1,ARAMARK HOLDINGS CORPORATION,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2008,aramark,22896,42%,58%,,,2008,"$60,281 ","$94,906 ","$49,800 ","$84,225 ",$0 ,$0 ,"$144,706 ",47002,D000024107,ARAMARK CORP,aramark
11,ARCADISNV,11441234,12948495,1072,954.025,130727130.1,1,ARCADIS N.V.,,OTHER THAN SMALL BUSINESS,2008,arcadis nv,84472,62%,38%,,,2008,"$52,000 ","$10,000 ","$74,250 ","$32,250 ",$0 ,$0 ,"$84,250 ",104634,D000066743,ARCADIS NV,arcadis nv
12,ATTINC,16463392255,16463543281,3636,33189.1561,59161533669,1,AT&T INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008,att,369,46%,54%,,,2008,"$2,591,426 ","$1,386,956 ","$4,267,700 ","$3,055,524 ",$0 ,"$12,500 ","$5,687,281 ",445,D000000076,AT&T INC,att
13,BAESYSTEMSPLC,36999111011,73069278710,6465,104194.2896,5382092651,1,BAE SYSTEMS PLC,,OTHER THAN SMALL BUSINESS,2008,bae systems,6412,42%,58%,,,2008,"$553,521 ","$304,038 ","$1,006,676 ","$756,743 ",$0 ,$0 ,"$1,310,924 ",6995,D000000583,BAE SYSTEMS,bae systems
14,BALLCORPORATION,74742532.98,74744322.1,1373,1382.189192,222341188.8,1,BALL CORPORATION,,OTHER THAN SMALL BUSINESS,2008,ball,23702,52%,48%,,,2008,"$92,322 ","$46,394 ","$130,000 ","$84,072 ",$0 ,$0 ,"$176,394 ",47940,D000024239,BALL CORP,ball
15,BAXTERINTERNATIONALINC,5560,5560,2,22625,1300000000,1,BAXTER INTERNATIONAL INC.,,OTHER THAN SMALL BUSINESS,2008,baxter,7033,53%,47%,,,2008,"$156,600 ","$94,438 ","$199,000 ","$136,570 ",$0 ,$0 ,"$293,438 ",7676,D000000643,BAXTER INTERNATIONAL,baxter
16,BAYERAG,4540,4540,2,593,175500000,1,BAYER AG,,OTHER THAN SMALL BUSINESS,2008,bayer ag,117532,42%,58%,,,2008,"$145,578 ","$73,525 ","$271,500 ","$199,197 ",$0 ,$0 ,"$345,525 ",159894,D000042363,BAYER AG,bayer ag
17,BEARINGPOINTINC,254057846.3,401972305.6,972,2467.355865,170277977.3,1,"BEARINGPOINT, INC.",,OTHER THAN SMALL BUSINESS,2008,bearingpoint,23911,54%,46%,,,2008,"$154,179 ","$126,858 ","$159,500 ","$131,679 ",$0 ,$0 ,"$286,358 ",48202,D000024292,BEARINGPOINT INC,bearingpoint
18,BERKSHIREHATHAWAYINC,1051463185,2483374363,110,21844.58974,6709427236,1,BERKSHIRE HATHAWAY INC.,,OTHER THAN SMALL BUSINESS,2008,berkshire hathaway,11840,33%,67%,,,2008,"$244,259 ","$559,754 ","$187,299 ","$502,569 ",$0 ,$0 ,"$749,211 ",33597,D000021757,BERKSHIRE HATHAWAY,berkshire hathaway
19,BOSTONSCIENTIFICCORPORATION,1018702,1018702,4,8333.333333,977666666.7,1,BOSTON SCIENTIFIC CORPORATION,,OTHER THAN SMALL BUSINESS,2008,boston scientific,12843,39%,61%,,,2008,"$204,738 ","$255,733 ","$267,580 ","$318,575 ",$0 ,$0 ,"$523,313 ",34720,D000021878,BOSTON SCIENTIFIC CORP,boston scientific
20,BRUNSWICKCORPORATION,474205.58,474205.58,63,4154.727778,3455533883,1,BRUNSWICK CORPORATION,,OTHER THAN SMALL BUSINESS,2008,brunswick,24461,30%,70%,,,2008,"$36,580 ","$10,682 ","$110,500 ","$84,602 ",$0 ,$0 ,"$121,432 ",48956,D000024496,BRUNSWICK CORP,brunswick
22,BURNSMCDONNELLINC,30883662,30883662,50,0,0,1,BURNS & MCDONNELL  INC.,,OTHER THAN SMALL BUSINESS,2008,burns mcdonnell,24549,55%,46%,,,2008,"$31,325 ","$11,005 ","$46,500 ","$26,180 ",$0 ,$0 ,"$57,522 ",49066,D000024518,BURNS & MCDONNELL,burns mcdonnell
23,BUTTERBALLLLC,26024633.74,219357529.5,40,5725.714286,1161428571,1,BUTTERBALL  LLC,,OTHER THAN SMALL BUSINESS,2008,butterball,24590,83%,17%,,,2008,"$9,700 ","$2,000 ","$9,700 ","$2,000 ",$0 ,$0 ,"$11,700 ",49118,D000024529,BUTTERBALL LLC,butterball
24,CAMPBELLSOUPCOMPANY,76744092.18,214268832.2,40,1943.782051,157692307.7,1,CAMPBELL SOUP COMPANY,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008,campbell soup,24915,42%,57%,,,2008,"$35,407 ","$33,732 ","$50,619 ","$48,444 ",$0 ,$0 ,"$85,351 ",49512,D000024598,CAMPBELL SOUP,campbell soup
25,CARDINALHEALTHINC,309109883.7,309109883.7,68146,10131.84834,2016837658,1,CARDINAL HEALTH  INC.,,OTHER THAN SMALL BUSINESS,2008,cardinal health,13019,48%,52%,,,2008,"$126,151 ","$55,386 ","$206,500 ","$135,735 ",$0 ,$0 ,"$262,027 ",34910,D000021892,CARDINAL HEALTH,cardinal health
26,CATERPILLARINC,144445108.5,144445108.5,4079,57478.96144,15426446081,1,CATERPILLAR INC.,,OTHER THAN SMALL BUSINESS,2008,caterpillar,3781,26%,74%,,,2008,"$220,374 ","$224,021 ","$634,500 ","$638,647 ",$0 ,$0 ,"$864,021 ",4133,D000000352,CATERPILLAR INC,caterpillar
27,CENTERPOINTENERGYINC,2227051.46,2227051.46,2,0,0,1,CENTERPOINT ENERGY  INC.,,OTHER THAN SMALL BUSINESS,2008,centerpoint energy,25152,33%,67%,,,2008,"$76,398 ","$110,818 ","$119,872 ","$154,292 ",$0 ,$0 ,"$230,890 ",49823,D000024672,CENTERPOINT ENERGY,centerpoint energy
28,CENTURYLINKINC,331287.69,331287.69,17,13522.0125,3751937684,1,CENTURYLINK  INC.,,OTHER THAN SMALL BUSINESS,2008,centurylink,25194,43%,57%,,,2008,"$55,500 ","$50,300 ","$80,000 ","$74,800 ",$0 ,$0 ,"$130,300 ",49876,D000024683,CENTURYLINK,centurylink
29,CH2MHILLCOMPANIESLTD,238759021,240216365.5,1955,10884.06169,2906705122,1,"CH2M HILL COMPANIES, LTD",,OTHER THAN SMALL BUSINESS,2008,ch2m hill,5395,63%,37%,,,2008,"$439,404 ","$227,842 ","$462,746 ","$258,284 ",$0 ,"$8,000 ","$699,188 ",5887,D000000492,CH2M HILL,ch2m hill
30,CHEVRONCORPORATION,70092,80092,17,20464.5,21403499782,1,CHEVRON CORPORATION,,OTHER THAN SMALL BUSINESS,2008,chevron,29,25%,74%,,,2008,"$291,851 ","$557,092 ","$583,850 ","$847,341 ",$0 ,$0 ,"$1,151,342 ",44,D000000015,CHEVRON,chevron
31,CISCOSYSTEMSINC,6228453.03,6434245.03,123,1688,719000000,1,CISCO SYSTEMS  INC.,,OTHER THAN SMALL BUSINESS,2008,cisco systems,4033,65%,35%,,,2008,"$1,043,098 ","$1,079,854 ","$527,500 ","$561,506 ",$0 ,$0 ,"$1,607,354 ",4407,D000000374,CISCO SYSTEMS,cisco systems
