,recipient_parent_name1,current_award,potential_award,offers_received,num_employees,annual_revenue,award_count,recipient_name,organizational_type,business_size,year,recipient_name_clean,% to Dems,% to Repubs,Cycle,Democrats,Individuals,PACs,Republicans,Soft (Indivs),Soft (Orgs),Total,org_id,org_name,org_name_clean
0,3MCOMPANY,7838262.46,43427979.83,18310,2854455.021,1.03E+12,1,3M COMPANY,,OTHER THAN SMALL BUSINESS,2008,3m,41%,59%,2008,"$180,494 ","$154,571 ","$284,404 ","$257,681 ",$0,$0,"$439,575 ",D000021800,3M CO,3m
1,ABBLTD,316353.74,316353.74,5,21646.75,6203500288,1,ABB LTD,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2008,abb,50%,50%,2008,"$10,686 ","$3,536 ","$18,000 ","$10,850 ",$0,$0,"$21,536 ",D000023729,ABB GROUP,abb
2,ABBOTTLABORATORIES,23293041.28,62447873.44,149,53429.50167,1786236981,1,ABBOTT LABORATORIES,,OTHER THAN SMALL BUSINESS,2008,abbott laboratories,45%,55%,2008,"$575,791 ","$252,594 ","$1,028,497 ","$709,850 ","$5,000 ",$0,"$1,286,316 ",D000000383,ABBOTT LABORATORIES,abbott laboratories
3,ADVANCEDACOUSTICCONCEPTSINC,26270545,58770784,5,200,26914780,1,ADVANCED ACOUSTIC CONCEPTS  INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008,advanced acoustic concepts,83%,16%,2008,"$119,550 ","$37,250 ","$107,600 ","$23,300 ",$0,$0,"$144,850 ",D000023762,ADVANCED ACOUSTIC CONCEPTS,advanced acoustic concepts
4,AFOGNAKNATIVECORPORATION,465484963.6,1040796126,430,490.9336285,17866997.5,1,AFOGNAK NATIVE CORPORATION,,SMALL BUSINESS,2008,afognak native,62%,38%,2008,"$6,070 ","$3,820 ","$6,000 ","$3,750 ",$0,$0,"$9,820 ",D000023779,AFOGNAK NATIVE CORP,afognak native
5,ALLEGHENYENERGYINC,92514366.98,92514366.98,5,4125.909091,365126009.6,1,ALLEGHENY ENERGY  INC.,,OTHER THAN SMALL BUSINESS,2008,allegheny energy,50%,50%,2008,"$107,272 ","$59,272 ","$155,800 ","$107,800 ",$0,$0,"$216,672 ",D000023850,ALLEGHENY ENERGY,allegheny energy
6,ALLIANTTECHSYSTEMSINC,93569924297,93567634295,290,6761.058895,1452678125,1,ALLIANT TECHSYSTEMS INC.,,OTHER THAN SMALL BUSINESS,2008,alliant techsystems,48%,52%,2008,"$187,519 ","$42,386 ","$345,918 ","$200,785 ",$0,$0,"$388,304 ",D000021814,ALLIANT TECHSYSTEMS,alliant techsystems
7,AMERICANSYSTEMSCORPORATION,5958003.62,1502165.62,41,624.5,191441464,1,AMERICAN SYSTEMS CORPORATION,,OTHER THAN SMALL BUSINESS,2008,american systems,72%,29%,2008,"$22,550 ","$11,051 ","$20,500 ","$9,001 ",$0,$0,"$31,551 ",D000024025,AMERICAN SYSTEMS CORP,american systems
8,AMERISOURCEBERGENCORPORATION,167132445,167937209.2,42566,1107.108001,275188.9365,1,AMERISOURCEBERGEN CORPORATION,,OTHER THAN SMALL BUSINESS,2008,amerisourcebergen,34%,66%,2008,"$121,700 ","$42,801 ","$308,250 ","$234,351 ",$0,$0,"$356,051 ",D000021841,AMERISOURCEBERGEN CORP,amerisourcebergen
9,ANALYTICALGRAPHICSINC,70711,70711,1,0,0,1,ANALYTICAL GRAPHICS  INC.,,OTHER THAN SMALL BUSINESS,2008,analytical graphics,36%,65%,2008,"$13,050 ","$1,250 ","$35,500 ","$23,700 ",$0,$0,"$36,750 ",D000024070,ANALYTICAL GRAPHICS INC,analytical graphics
